Date,Month,Labour Force,Employment,Unemployment,Beneficiaries,Unemployment_Rate
1997-01-01,January,14677800,13162900,1514500,689660,0.10325
1997-02-01,February,14743400,13230600,1512600,678560,0.102207692
1997-03-01,March,14780700,13304800,1476100,667350,0.102303846
1997-04-01,April,14828500,13371100,1457700,662150,0.102792308
1997-05-01,May,15185900,13748300,1437700,666020,0.095392308
1997-06-01,June,15415800,14055800,1359700,645410,0.085526923
1997-07-01,July,15542700,14132900,1410300,628060,0.087576923
1997-08-01,August,15558600,14187900,1371000,616260,0.084180769
1997-09-01,September,15163600,13939000,1224700,619380,0.078234615
1997-10-01,October,15167100,13916700,1250100,619820,0.078080769
1997-11-01,November,15120500,13835800,1284700,616760,0.084169231
1997-12-01,December,14993800,13796200,1197700,587160,0.081207692
1998-01-01,January,14912200,13490000,1422400,630020,0.094057692
1998-02-01,February,14984600,13612400,1372000,612660,0.092376923
1998-03-01,March,15020400,13669700,1350900,613050,0.091884615
1998-04-01,April,15087000,13780900,1305800,619060,0.096180769
1998-05-01,May,15402700,14106300,1296000,606680,0.086276923
1998-06-01,June,15610000,14356300,1254000,619470,0.079261538
1998-07-01,July,15789300,14456500,1333000,627000,0.080703846
1998-08-01,August,15751300,14483800,1267500,608110,0.079996154
1998-09-01,September,15403700,14250900,1153500,606520,0.074788462
1998-10-01,October,15374300,14239200,1134900,603220,0.074369231
1998-11-01,November,15354800,14177200,1177800,595060,0.079788462
1998-12-01,December,15294200,14121200,1172700,593020,0.082288462
1999-01-01,January,15200100,13896500,1303300,583930,0.093607692
1999-02-01,February,15258000,13967400,1290300,582500,0.090311538
1999-03-01,March,15291300,14003100,1288400,582700,0.092834615
1999-04-01,April,15443500,14117000,1326200,579400,0.094719231
1999-05-01,May,15742100,14469400,1272900,577580,0.086038462
1999-06-01,June,15861700,14713700,1148200,567320,0.073638462
1999-07-01,July,16070200,14819900,1250200,550460,0.076338462
1999-08-01,August,16016100,14791500,1224600,552990,0.074692308
1999-09-01,September,15637800,14571900,1065700,552910,0.068769231
1999-10-01,October,15619400,14590700,1029400,545130,0.069526923
1999-11-01,November,15555900,14532400,1023500,535920,0.072515385
1999-12-01,December,15515700,14531200,984800,536130,0.071684615
2000-01-01,January,15402500,14272100,1130700,518680,0.080946154
2000-02-01,February,15513400,14378700,1134500,524440,0.079334615
2000-03-01,March,15565500,14433200,1132300,517260,0.080146154
2000-04-01,April,15621100,14508600,1112700,516100,0.079592308
2000-05-01,May,15966600,14890300,1076600,510470,0.070630769
2000-06-01,June,16092400,15071300,1020700,515010,0.065288462
2000-07-01,July,16274200,15128000,1145900,513210,0.073119231
2000-08-01,August,16292400,15111900,1180600,507530,0.072226923
2000-09-01,September,15905500,14898800,1006600,509370,0.064638462
2000-10-01,October,15927000,14911100,1016200,506860,0.065961538
2000-11-01,November,15899400,14860900,1038800,505540,0.073292308
2000-12-01,December,15846200,14836800,1009000,505460,0.072707692
2001-01-01,January,15745500,14559300,1185800,509430,0.097270833
2001-02-01,February,15785900,14606800,1179100,515080,0.092604167
2001-03-01,March,15857000,14653200,1204100,529840,0.095416667
2001-04-01,April,15942700,14758300,1184300,541250,0.101120833
2001-05-01,May,16266400,15115000,1151200,540300,0.089908333
2001-06-01,June,16371400,15265100,1106300,542580,0.083083333
2001-07-01,July,16533600,15332300,1201000,536500,0.088875
2001-08-01,August,16548400,15308100,1239900,553690,0.087845833
2001-09-01,September,16132100,15064600,1067200,561130,0.078104167
2001-10-01,October,16143800,15058400,1085300,572800,0.077920833
2001-11-01,November,16141000,14986900,1153700,590480,0.0845625
2001-12-01,December,16123900,14895100,1229000,599450,0.090279167
2002-01-01,January,16102000,14695700,1406500,608810,0.1022125
2002-02-01,February,16131700,14768400,1363200,603320,0.099933333
2002-03-01,March,16239800,14881900,1357500,598300,0.095745833
2002-04-01,April,16311500,15004000,1308000,582010,0.093858333
2002-05-01,May,16702600,15388000,1314600,588710,0.088829167
2002-06-01,June,16827700,15633900,1193800,579150,0.0770625
2002-07-01,July,17048900,15725200,1323900,576440,0.08295
2002-08-01,August,17091900,15776400,1315700,572240,0.0824
2002-09-01,September,16691400,15535100,1156300,576760,0.074983333
2002-10-01,October,16686000,15532900,1153200,574780,0.078791667
2002-11-01,November,16692200,15501500,1191200,569560,0.083670833
2002-12-01,December,16672000,15486400,1185600,570740,0.084495833
2003-01-01,January,16554400,15215600,1339000,565650,0.095979167
2003-02-01,February,16646500,15327600,1319100,570580,0.093229167
2003-03-01,March,16679200,15374800,1304000,577300,0.093625
2003-04-01,April,16744800,15422400,1322400,586500,0.094929167
2003-05-01,May,17102300,15736600,1365300,592810,0.089425
2003-06-01,June,17250400,16021100,1229200,598150,0.0758
2003-07-01,July,17403600,16039400,1364800,613080,0.0835375
2003-08-01,August,17420000,16007900,1411800,599210,0.086083333
2003-09-01,September,17022900,15786800,1235900,593140,0.076791667
2003-10-01,October,17015200,15838500,1176900,593560,0.077166667
2003-11-01,November,17011700,15809700,1201800,589800,0.082925
2003-12-01,December,16955300,15785600,1169400,584990,0.081654167
2004-01-01,January,16829200,15497200,1332200,585550,0.097323077
2004-02-01,February,16867800,15558700,1308800,581230,0.089696154
